# Logfile created on 2026-06-08 12:40:19 +0200 by logger.rb/v1.5.3
2026-06-08 12:40:19 +0200: Memory Usage (423520K) : Starting running IHP-SG13G2 KLayout DRC runset on /home/boudi/PSESI/layout.gds
2026-06-08 12:40:19 +0200: Memory Usage (423520K) : Ruby Version for klayout: 3.2.3
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : Loading database to memory is complete.
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : IHP-SG13G2 KLayout DRC runset output at: /home/boudi/PSESI/drc_run_TOP/layout_TOP_main.lyrdb
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : Evaluate switches.
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : tables selected: main
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : KLayout will use 1 thread(s) in tiling mode.
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : deep mode is enabled.
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : FEOL enabled: true
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : BEOL enabled: true
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : OFFGRID enabled: true
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : ANGLE enabled: true
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : PIN enabled: true
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : FORBIDDEN enabled: true
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : RECOMMENDED enabled: true
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : PreCheck DRC enabled: false
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : CONNECTIVITY_RULES enabled: true.
2026-06-08 12:40:19 +0200: Memory Usage (424928K) : Read in polygons from layers.
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : activ_drw has 40 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : activ_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : activ_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : activ_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : activ_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : activ_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : activ_iopc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : activ_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : biwind_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : biwind_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425696K) : pemwind_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : gatpoly_drw has 41 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : gatpoly_pin has 6 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : gatpoly_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : gatpoly_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : gatpoly_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : gatpoly_iopc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : gatpoly_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : cont_drw has 232 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : cont_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : nsd_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425824K) : nsd_block has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425952K) : metal1_drw has 76 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425952K) : metal1_pin has 17 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425952K) : metal1_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425952K) : metal1_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425952K) : metal1_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (425952K) : metal1_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426208K) : metal1_text has 5 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426208K) : metal1_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426208K) : metal1_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426336K) : metal1_res has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426336K) : metal1_iprobe has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426336K) : metal1_diffprb has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426464K) : passiv_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426464K) : passiv_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426464K) : passiv_sbump has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426592K) : passiv_pillar has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426592K) : passiv_pdl has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426720K) : metal2_drw has 2 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426720K) : metal2_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426720K) : metal2_mask has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426848K) : metal2_filler has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426848K) : metal2_nofill has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426976K) : metal2_slit has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (426976K) : metal2_text has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427104K) : metal2_opc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427104K) : metal2_noqrc has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427232K) : metal2_res has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427232K) : metal2_iprobe has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427360K) : metal2_diffprb has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427360K) : baspoly_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427488K) : baspoly_pin has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427488K) : psd_drw has 5 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427616K) : nldb_drw has 0 polygons
2026-06-08 12:40:19 +0200: Memory Usage (427616K) : digibnd_drw has 0 polygons
